URL,Performance,Accessibility,BestPractices,SEO,FCP (ms),LCP (ms),TBT (ms),CLS,SpeedIndex (ms),Report Link
https://stockbridgedaycare.com/2025/12/04/10-key-factors-to-evaluate-when-assessing-early-childhood-education-center-quality/,80,92,100,100,2930,4340,0,0.000,2930,./reports/stockbridgedaycare.com_2025_12_04_10_key_factors_to_evaluate_when_assessing_early_childhood_education_center_quality.report.html
https://stockbridgedaycare.com/2025/12/04/chroma-early-learning-academy-enrollment-faqs-you-need-to-know-complete-guide-to-programs-process-and-parent-resources/,79,92,100,100,2794,4568,47,0.002,2794,./reports/stockbridgedaycare.com_2025_12_04_chroma_early_learning_academy_enrollment_faqs_you_need_to_know_complete_guide_to_programs_process_and_parent_resources.report.html
https://stockbridgedaycare.com/2025/12/04/empowering-families-through-effective-collaboration-in-early-childhood-education/,89,92,100,100,1261,3080,9,0.127,1261,./reports/stockbridgedaycare.com_2025_12_04_empowering_families_through_effective_collaboration_in_early_childhood_education.report.html
https://stockbridgedaycare.com/2025/12/04/essential-technology-tools-for-early-childhood-learning-benefits-applications-and-parent-guidance/,71,93,100,93,3523,5719,46,0.000,3523,./reports/stockbridgedaycare.com_2025_12_04_essential_technology_tools_for_early_childhood_learning_benefits_applications_and_parent_guidance.report.html
https://stockbridgedaycare.com/2025/12/04/why-early-childhood-education-matters-for-development-key-benefits-and-parental-guidance/,85,92,100,100,1904,3508,2,0.127,1904,./reports/stockbridgedaycare.com_2025_12_04_why_early_childhood_education_matters_for_development_key_benefits_and_parental_guidance.report.html
https://stockbridgedaycare.com/2025/12/04/why-social-emotional-learning-matters-in-early-childhood/,74,92,100,100,3182,5255,39,0.038,3182,./reports/stockbridgedaycare.com_2025_12_04_why_social_emotional_learning_matters_in_early_childhood.report.html
https://stockbridgedaycare.com/about/,85,100,100,100,1391,3719,13,0.116,1391,./reports/stockbridgedaycare.com_about.report.html
https://stockbridgedaycare.com/careers/,84,100,100,92,3252,3452,0,0.001,3252,./reports/stockbridgedaycare.com_careers.report.html
https://stockbridgedaycare.com/childcare/4820/,80,91,100,100,3687,3887,0,0.018,3687,./reports/stockbridgedaycare.com_childcare_4820.report.html
https://stockbridgedaycare.com/childcare/alpharetta/,82,95,100,100,3622,3622,0,0.001,3622,./reports/stockbridgedaycare.com_childcare_alpharetta.report.html
https://stockbridgedaycare.com/childcare/ballground/,82,95,100,100,3481,3719,0,0.002,3481,./reports/stockbridgedaycare.com_childcare_ballground.report.html
https://stockbridgedaycare.com/childcare/canton/,81,95,100,100,3490,3886,0,0.017,3490,./reports/stockbridgedaycare.com_childcare_canton.report.html
https://stockbridgedaycare.com/childcare/clermont/,81,95,100,100,3480,3805,0,0.001,3480,./reports/stockbridgedaycare.com_childcare_clermont.report.html
https://stockbridgedaycare.com/childcare/cumming/,80,95,100,100,3605,3876,0,0.001,3605,./reports/stockbridgedaycare.com_childcare_cumming.report.html
https://stockbridgedaycare.com/childcare/dahlonega/,82,95,100,100,3432,3684,0,0.001,3432,./reports/stockbridgedaycare.com_childcare_dahlonega.report.html
https://stockbridgedaycare.com/childcare/dawsonville/,84,95,100,100,3337,3455,0,0.003,3337,./reports/stockbridgedaycare.com_childcare_dawsonville.report.html
https://stockbridgedaycare.com/childcare/decatur/,85,95,100,100,3136,3500,0,0.017,3136,./reports/stockbridgedaycare.com_childcare_decatur.report.html
https://stockbridgedaycare.com/childcare/duluth/,92,95,100,100,2585,2763,0,0.009,2585,./reports/stockbridgedaycare.com_childcare_duluth.report.html
https://stockbridgedaycare.com/childcare/east-cobb/,81,95,100,100,3483,3879,0,0.027,3483,./reports/stockbridgedaycare.com_childcare_east_cobb.report.html
https://stockbridgedaycare.com/childcare/ellenwood/,73,93,100,100,4136,4658,0,0.002,4136,./reports/stockbridgedaycare.com_childcare_ellenwood.report.html
https://stockbridgedaycare.com/childcare/fairburn/,83,95,100,100,3475,3596,0,0.009,3475,./reports/stockbridgedaycare.com_childcare_fairburn.report.html
https://stockbridgedaycare.com/childcare/fayetteville/,64,93,100,100,5401,6117,53,0.001,5401,./reports/stockbridgedaycare.com_childcare_fayetteville.report.html
https://stockbridgedaycare.com/childcare/gainesville/,82,95,100,100,3440,3684,0,0.001,3440,./reports/stockbridgedaycare.com_childcare_gainesville.report.html
https://stockbridgedaycare.com/childcare/griffin/,81,0,100,0,3597,3787,0,0.009,3597,./reports/stockbridgedaycare.com_childcare_griffin.report.html
https://stockbridgedaycare.com/childcare/hampton/,82,95,100,100,3499,3692,0,0.006,3499,./reports/stockbridgedaycare.com_childcare_hampton.report.html
https://stockbridgedaycare.com/childcare/jasper/,78,93,100,100,3753,4159,60,0.000,3753,./reports/stockbridgedaycare.com_childcare_jasper.report.html
https://stockbridgedaycare.com/childcare/johns-creek/,82,95,100,100,3509,3714,0,0.004,3509,./reports/stockbridgedaycare.com_childcare_johns_creek.report.html
https://stockbridgedaycare.com/childcare/jonesboro/,82,95,100,100,3492,3725,0,0.001,3492,./reports/stockbridgedaycare.com_childcare_jonesboro.report.html
https://stockbridgedaycare.com/childcare/kennesaw/,84,95,100,100,3359,3489,0,0.001,3359,./reports/stockbridgedaycare.com_childcare_kennesaw.report.html
https://stockbridgedaycare.com/childcare/lawrenceville/,85,95,100,100,3227,3419,0,0.008,3227,./reports/stockbridgedaycare.com_childcare_lawrenceville.report.html
https://stockbridgedaycare.com/childcare/lilburn/,82,95,100,100,3495,3626,0,0.009,3495,./reports/stockbridgedaycare.com_childcare_lilburn.report.html
https://stockbridgedaycare.com/childcare/lithia-springs/,86,93,100,100,3208,3283,0,0.001,3208,./reports/stockbridgedaycare.com_childcare_lithia_springs.report.html
https://stockbridgedaycare.com/childcare/locust-grove/,80,95,100,100,3756,3839,0,0.001,3756,./reports/stockbridgedaycare.com_childcare_locust_grove.report.html
https://stockbridgedaycare.com/childcare/lovejoy/,85,95,100,100,3228,3351,0,0.018,3228,./reports/stockbridgedaycare.com_childcare_lovejoy.report.html
https://stockbridgedaycare.com/childcare/mableton/,84,95,100,100,3336,3463,0,0.001,3336,./reports/stockbridgedaycare.com_childcare_mableton.report.html
https://stockbridgedaycare.com/childcare/marietta/,85,95,100,100,3232,3339,0,0.009,3232,./reports/stockbridgedaycare.com_childcare_marietta.report.html
https://stockbridgedaycare.com/childcare/mcdonough/,88,95,100,100,2926,3119,0,0.002,2926,./reports/stockbridgedaycare.com_childcare_mcdonough.report.html
https://stockbridgedaycare.com/childcare/milton/,67,95,100,100,5147,5327,0,0.009,5147,./reports/stockbridgedaycare.com_childcare_milton.report.html
https://stockbridgedaycare.com/childcare/morrow/,82,95,100,100,3453,3671,0,0.018,3453,./reports/stockbridgedaycare.com_childcare_morrow.report.html
https://stockbridgedaycare.com/childcare/murrayville/,81,95,100,100,3477,3795,0,0.002,3477,./reports/stockbridgedaycare.com_childcare_murrayville.report.html
https://stockbridgedaycare.com/childcare/newnan/,83,95,100,100,3470,3592,0,0.009,3470,./reports/stockbridgedaycare.com_childcare_newnan.report.html
https://stockbridgedaycare.com/childcare/norcross/,72,93,100,100,4352,4714,0,0.007,4352,./reports/stockbridgedaycare.com_childcare_norcross.report.html
https://stockbridgedaycare.com/childcare/north-hall/,81,95,100,100,3565,3776,0,0.003,3565,./reports/stockbridgedaycare.com_childcare_north_hall.report.html
https://stockbridgedaycare.com/childcare/palmetto/,84,95,100,100,3384,3519,0,0.002,3384,./reports/stockbridgedaycare.com_childcare_palmetto.report.html
https://stockbridgedaycare.com/childcare/peachtree-city/,81,95,100,100,3631,3712,0,0.019,3631,./reports/stockbridgedaycare.com_childcare_peachtree_city.report.html
https://stockbridgedaycare.com/childcare/peachtree-corners/,85,95,100,100,3271,3380,0,0.001,3271,./reports/stockbridgedaycare.com_childcare_peachtree_corners.report.html
https://stockbridgedaycare.com/childcare/powder-springs/,81,95,100,100,3411,3798,0,0.003,3411,./reports/stockbridgedaycare.com_childcare_powder_springs.report.html
https://stockbridgedaycare.com/childcare/rex/,83,95,100,100,3441,3567,0,0.009,3441,./reports/stockbridgedaycare.com_childcare_rex.report.html
https://stockbridgedaycare.com/childcare/roswell/,81,95,100,100,3514,3743,0,0.009,3514,./reports/stockbridgedaycare.com_childcare_roswell.report.html
https://stockbridgedaycare.com/childcare/snellville/,82,95,100,100,3456,3778,0,0.010,3456,./reports/stockbridgedaycare.com_childcare_snellville.report.html
https://stockbridgedaycare.com/childcare/stockbridge/,77,93,100,100,3789,4216,33,0.001,3789,./reports/stockbridgedaycare.com_childcare_stockbridge.report.html
https://stockbridgedaycare.com/childcare/stone-mountain/,80,93,100,100,3476,3996,0,0.002,3476,./reports/stockbridgedaycare.com_childcare_stone_mountain.report.html
https://stockbridgedaycare.com/childcare/tucker/,82,95,100,100,3451,3695,0,0.009,3451,./reports/stockbridgedaycare.com_childcare_tucker.report.html
https://stockbridgedaycare.com/childcare/tyrone/,81,95,100,100,3491,3806,0,0.018,3491,./reports/stockbridgedaycare.com_childcare_tyrone.report.html
https://stockbridgedaycare.com/childcare/waleska/,88,95,100,100,3045,3045,0,0.009,3045,./reports/stockbridgedaycare.com_childcare_waleska.report.html
https://stockbridgedaycare.com/childcare/west-cobb/,84,95,100,100,3342,3443,0,0.005,3342,./reports/stockbridgedaycare.com_childcare_west_cobb.report.html
https://stockbridgedaycare.com/childcare/woodstock/,93,95,100,100,2521,2700,0,0.002,2521,./reports/stockbridgedaycare.com_childcare_woodstock.report.html
https://stockbridgedaycare.com/contact-us/,98,96,100,100,1905,1923,0,0.001,1905,./reports/stockbridgedaycare.com_contact_us.report.html
https://stockbridgedaycare.com/curriculum/,98,96,100,92,1874,1886,0,0.010,1874,./reports/stockbridgedaycare.com_curriculum.report.html
https://stockbridgedaycare.com/employers/,80,96,100,92,3411,4067,0,0.012,3411,./reports/stockbridgedaycare.com_employers.report.html
https://stockbridgedaycare.com/locations/cherokee-campus/,84,96,100,92,3050,3674,0,0.001,3050,./reports/stockbridgedaycare.com_locations_cherokee_campus.report.html
https://stockbridgedaycare.com/locations/east-cobb-campus/,95,96,100,92,1949,2723,0,0.001,1949,./reports/stockbridgedaycare.com_locations_east_cobb_campus.report.html
https://stockbridgedaycare.com/locations/ellenwood-campus/,90,100,100,92,2639,3013,0,0.001,2639,./reports/stockbridgedaycare.com_locations_ellenwood_campus.report.html
https://stockbridgedaycare.com/locations/johns-creek/,87,96,100,92,2809,3371,0,0.000,2809,./reports/stockbridgedaycare.com_locations_johns_creek.report.html
https://stockbridgedaycare.com/locations/jonesboro-campus/,93,96,100,92,2275,2821,0,0.001,2275,./reports/stockbridgedaycare.com_locations_jonesboro_campus.report.html
https://stockbridgedaycare.com/locations/lawrenceville-campus/,84,96,100,92,3040,3586,0,0.001,3040,./reports/stockbridgedaycare.com_locations_lawrenceville_campus.report.html
https://stockbridgedaycare.com/locations/lilburn-campus/,77,96,100,92,3602,4307,0,0.000,3602,./reports/stockbridgedaycare.com_locations_lilburn_campus.report.html
https://stockbridgedaycare.com/locations/mcdonough/,76,95,100,92,3741,4465,0,0.000,3741,./reports/stockbridgedaycare.com_locations_mcdonough.report.html
https://stockbridgedaycare.com/locations/midway-campus/,95,96,100,92,2155,2621,0,0.000,2155,./reports/stockbridgedaycare.com_locations_midway_campus.report.html
https://stockbridgedaycare.com/locations/newnan/,76,100,100,92,3695,4523,0,0.000,3695,./reports/stockbridgedaycare.com_locations_newnan.report.html
https://stockbridgedaycare.com/locations/north-hall-campus-murraysville/,78,100,100,92,3596,4160,0,0.000,3596,./reports/stockbridgedaycare.com_locations_north_hall_campus_murraysville.report.html
https://stockbridgedaycare.com/locations/pleasanthill-campus-duluth/,83,96,100,92,2898,3835,0,0.014,2898,./reports/stockbridgedaycare.com_locations_pleasanthill_campus_duluth.report.html
https://stockbridgedaycare.com/locations/rivergreen-campus/,97,96,100,92,2104,2225,0,0.001,2104,./reports/stockbridgedaycare.com_locations_rivergreen_campus.report.html
https://stockbridgedaycare.com/locations/roswell-campus/,95,96,100,92,2010,2609,0,0.000,2010,./reports/stockbridgedaycare.com_locations_roswell_campus.report.html
https://stockbridgedaycare.com/locations/satellite-bvd-campus/,92,96,100,92,1862,3137,0,0.001,1862,./reports/stockbridgedaycare.com_locations_satellite_bvd_campus.report.html
https://stockbridgedaycare.com/locations/south-cobb-campus-austell/,76,96,100,92,3788,4447,0,0.000,3788,./reports/stockbridgedaycare.com_locations_south_cobb_campus_austell.report.html
https://stockbridgedaycare.com/locations/tramore-campus-austell/,77,100,100,92,3260,4516,0,0.001,3260,./reports/stockbridgedaycare.com_locations_tramore_campus_austell.report.html
https://stockbridgedaycare.com/locations/tyrone-campus/,96,96,100,92,2064,2448,0,0.000,2064,./reports/stockbridgedaycare.com_locations_tyrone_campus.report.html
https://stockbridgedaycare.com/locations/west-cobb-campus/,78,96,100,92,3484,4251,0,0.000,3484,./reports/stockbridgedaycare.com_locations_west_cobb_campus.report.html
https://stockbridgedaycare.com/newsroom/,100,91,100,100,1106,1781,0,0.001,1106,./reports/stockbridgedaycare.com_newsroom.report.html
https://stockbridgedaycare.com/parents/,96,95,100,92,1113,2707,18,0.002,1113,./reports/stockbridgedaycare.com_parents.report.html
https://stockbridgedaycare.com/privacy-policy/,96,95,100,92,1062,2714,0,0.000,1062,./reports/stockbridgedaycare.com_privacy_policy.report.html
https://stockbridgedaycare.com/programs/after-school/,81,100,100,100,3323,3854,0,0.000,3323,./reports/stockbridgedaycare.com_programs_after_school.report.html
https://stockbridgedaycare.com/programs/camp-summer-winter-fall/,86,98,100,100,2783,3533,0,0.000,2783,./reports/stockbridgedaycare.com_programs_camp_summer_winter_fall.report.html
https://stockbridgedaycare.com/programs/ga-pre-k/,79,100,100,100,2142,5120,0,0.000,2142,./reports/stockbridgedaycare.com_programs_ga_pre_k.report.html
https://stockbridgedaycare.com/programs/infant-care/,88,98,100,100,1996,3646,0,0.000,1996,./reports/stockbridgedaycare.com_programs_infant_care.report.html
https://stockbridgedaycare.com/programs/parents-day-out/,76,100,100,100,3426,4720,0,0.000,3426,./reports/stockbridgedaycare.com_programs_parents_day_out.report.html
https://stockbridgedaycare.com/programs/preschool/,96,100,100,100,1876,2527,0,0.000,1876,./reports/stockbridgedaycare.com_programs_preschool.report.html
https://stockbridgedaycare.com/programs/pre-k-prep/,78,98,100,100,3126,4559,0,0.001,3126,./reports/stockbridgedaycare.com_programs_pre_k_prep.report.html
https://stockbridgedaycare.com/programs/toddler-care/,91,100,100,100,2422,3097,0,0.000,2422,./reports/stockbridgedaycare.com_programs_toddler_care.report.html
https://stockbridgedaycare.com/stories/,86,91,100,92,1299,4148,12,0.013,1368,./reports/stockbridgedaycare.com_stories.report.html
